Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,temperature,wind_speed,precipitation,season,league_home_avg,league_away_avg,HomeTeam_goals_5avg,HomeTeam_win_pct,AwayTeam_goals_5avg,AwayTeam_win_pct,Home_clean_sheets_5,Home_goals_conceded_5avg,Away_clean_sheets_5,Away_goals_conceded_5avg,Home_shot_conv_3,Away_shot_conv_3,Home_avg_cards_5,Away_avg_cards_5,Home_days_rest,Away_days_rest,Home_comeback_pts_10,Away_comeback_pts_10,h2h_goal_diff
2019-01-26,Guingamp,Reims,0,1,A,0,1,A,,6,7,2,3,12,13,4,4,1,2,1,0,8.641666666666667,20.812500000000004,2.1,2018,1.4710526315789474,1.0868421052631578,1.0,0.3,0.8,0.1,1.0,1.6,2.0,0.8,0.0882275093374114,0.06895838361548806,1.0,1.6,-319.0,415.0,0.0,0.0,0
2019-01-26,Nice,Nimes,2,0,H,1,0,H,,15,14,7,7,10,13,6,4,1,3,0,0,6.4875,6.770833333333333,0.0,2018,1.4710526315789474,1.0868421052631578,1.0,0.4,1.4,0.1,4.0,0.2,2.0,1.4,0.04166406266275024,0.054542479501118124,1.8,1.6,350.0,224.0,0.0,0.0,0
2019-01-26,Strasbourg,Bordeaux,1,0,H,0,0,D,,10,11,5,1,19,18,5,4,2,2,0,0,3.1750000000000003,20.5625,0.7000000000000001,2018,1.4710526315789474,1.0868421052631578,1.2,0.5,0.6,0.2,1.0,1.0,1.0,1.0,0.19997600287965445,0.052627424150724945,2.0,1.6,101.0,-320.0,1.0,0.0,0
2019-01-27,Amiens,Lyon,0,1,A,0,0,D,,12,18,2,11,17,15,3,4,1,3,0,0,5.733333333333334,27.3,5.900000000000001,2018,1.4710526315789474,1.0868421052631578,0.4,0.5,2.2,0.3,1.0,2.0,0.0,1.6,0.0,0.09090413250186354,1.6,1.8,122.0,4.0,0.0,2.0,0
2019-01-27,Montpellier,Caen,2,0,H,0,0,D,,11,9,6,1,15,17,4,3,1,1,0,0,6.862500000000001,18.4125,0.1,2018,1.4710526315789474,1.0868421052631578,1.6,0.5,1.0,0.3,2.0,0.8,1.0,1.2,0.06817716973842693,0.24996250562415637,1.8,2.2,254.0,101.0,0.0,0.0,0
2019-01-27,Paris SG,Rennes,4,1,H,1,1,D,,16,10,7,3,8,7,2,1,1,2,0,0,6.05,26.54583333333333,3.0000000000000004,2018,1.4710526315789474,1.0868421052631578,3.6,0.5,1.6,0.3,4.0,0.2,2.0,1.0,0.18964536317087047,0.12120110293003666,1.0,1.8,28.0,3.0,0.0,0.0,0
2019-01-27,Toulouse,Angers,0,0,D,0,0,D,,14,13,4,3,13,11,4,5,1,1,0,0,6.7416666666666645,26.370833333333337,4.4,2018,1.4710526315789474,1.0868421052631578,1.0,0.4,1.0,0.3,0.0,2.0,2.0,1.6,0.14284489900865643,0.038457101103718805,2.2,1.6,3.0,-190.0,0.0,0.0,0
2019-01-30,Nantes,St Etienne,1,1,D,0,0,D,,13,10,3,4,12,12,7,6,2,1,1,1,3.537499999999999,14.699999999999996,1.4,2018,1.4710526315789474,1.0868421052631578,2.2,0.4,1.0,0.4,2.0,0.8,1.0,1.2,0.09803344901280317,0.13791676723097612,1.6,2.4,-200.0,350.0,0.0,0.0,0
2019-01-02,Lille,Nice,4,0,H,2,0,H,,15,5,7,2,16,7,4,1,2,0,0,1,2.1375,11.529166666666669,7.5,2018,1.4710526315789474,1.0868421052631578,1.2,0.5,0.6,0.3,1.0,1.2,2.0,0.8,0.08695085103145446,0.08332291796858726,1.2,2.2,27.0,3.0,0.0,0.0,0
2019-02-02,Angers,Dijon,1,0,H,1,0,H,,12,7,5,2,14,11,4,8,0,0,0,0,3.179166666666666,17.770833333333332,1.9,2018,1.4710526315789474,1.0868421052631578,1.0,0.6,0.4,0.3,2.0,0.8,0.0,2.0,0.07894113622608742,0.0,1.2,2.6,5.0,29.0,0.0,0.0,0
