Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,temperature,wind_speed,precipitation
07/08/15,Lille,Paris SG,0,1,A,0,0,D,,12,7,2,2,20,17,3,2,3,2,0,1,20.095833333333335,8.083333333333332,0.2
08/08/15,Bastia,Rennes,2,1,H,0,1,A,,11,6,3,3,15,19,6,2,0,1,1,0,28.849999999999998,5.641666666666666,0.0
08/08/15,Marseille,Caen,0,1,A,0,1,A,,17,8,4,4,10,10,14,2,1,0,0,0,28.5,10.083333333333334,1.5
08/08/15,Montpellier,Angers,0,2,A,0,1,A,,11,16,4,6,12,15,5,9,3,2,0,0,26.27083333333334,15.62916666666667,4.1
08/08/15,Nantes,Guingamp,1,0,H,0,0,D,,9,10,4,4,13,16,6,2,2,2,0,0,17.995833333333334,7.766666666666667,5.800000000000001
08/08/15,Nice,Monaco,1,2,A,1,0,H,,5,19,2,6,18,18,2,10,2,2,1,0,29.39166666666667,5.320833333333333,0.0
08/08/15,Troyes,Ajaccio GFCO,0,0,D,0,0,D,,12,6,4,1,11,8,9,3,0,4,0,0,23.45833333333334,12.229166666666664,1.1
09/08/15,Bordeaux,Reims,1,2,A,1,0,H,,14,14,4,6,14,12,4,3,2,2,0,0,18.52916666666666,7.7,3.4
09/08/15,Lyon,Lorient,0,0,D,0,0,D,,21,10,6,5,11,12,7,2,1,2,0,0,22.316666666666666,8.033333333333333,16.1
09/08/15,Toulouse,St Etienne,2,1,H,1,1,D,,9,11,3,2,10,10,3,4,0,1,1,0,18.108333333333334,13.870833333333335,2.5
14/08/15,Monaco,Lille,0,0,D,0,0,D,,9,9,3,2,12,19,4,6,1,5,0,0,25.133333333333336,4.929166666666667,0.4
15/08/15,Angers,Nantes,0,0,D,0,0,D,,10,2,3,1,12,17,4,2,3,4,0,0,17.133333333333336,13.441666666666665,0.0
15/08/15,Caen,Toulouse,1,0,H,0,0,D,,9,13,3,4,14,14,3,3,1,3,0,1,16.120833333333337,16.787499999999994,0.1
15/08/15,Guingamp,Lyon,0,1,A,0,0,D,,11,11,3,3,16,18,9,2,2,2,0,0,14.629166666666668,17.962500000000002,0.30000000000000004
15/08/15,Rennes,Montpellier,1,0,H,0,0,D,,10,4,2,0,11,9,3,4,3,1,0,0,15.691666666666663,12.374999999999998,0.0
15/08/15,St Etienne,Bordeaux,1,1,D,0,0,D,,7,17,2,3,17,11,1,8,2,1,0,0,16.079166666666666,10.533333333333333,3.6
15/08/15,Troyes,Nice,3,3,D,1,3,A,,11,18,7,6,11,13,11,3,3,3,1,0,17.34583333333334,15.370833333333332,6.300000000000001
16/08/15,Lorient,Bastia,1,1,D,0,1,A,,12,7,4,2,13,15,4,2,3,2,0,0,15.72916666666667,8.950000000000001,0.0
16/08/15,Paris SG,Ajaccio GFCO,2,0,H,2,0,H,,18,8,6,2,8,14,4,1,1,3,0,0,17.279166666666672,6.504166666666667,0.2
16/08/15,Reims,Marseille,1,0,H,1,0,H,,15,13,5,4,13,14,8,7,2,2,0,1,16.97083333333333,8.450000000000001,0.0
21/08/15,Montpellier,Paris SG,0,1,A,0,0,D,,10,9,3,5,13,8,2,1,2,1,0,0,24.04166666666667,11.137499999999998,0.0
22/08/15,Ajaccio GFCO,Angers,0,2,A,0,2,A,,8,9,3,5,12,10,9,3,2,2,0,0,24.01666666666667,5.991666666666668,0.0
22/08/15,Bastia,Guingamp,3,0,H,2,0,H,,10,15,5,4,14,13,3,5,2,3,0,0,23.4875,10.85,0.0
22/08/15,Lyon,Rennes,1,2,A,1,1,D,,15,6,4,3,12,13,6,1,1,3,0,0,23.266666666666666,6.9125000000000005,0.0
22/08/15,Nantes,Reims,1,0,H,0,0,D,,13,2,6,1,12,10,1,2,1,3,0,0,23.4375,11.816666666666665,3.5000000000000004
22/08/15,Nice,Caen,2,1,H,0,0,D,,7,12,4,6,7,16,2,3,1,3,0,0,22.25,5.283333333333333,0.7
22/08/15,Toulouse,Monaco,1,1,D,1,0,H,,13,14,4,3,13,20,4,5,0,4,0,0,23.670833333333334,14.575000000000003,0.0
23/08/15,Lille,Bordeaux,0,0,D,0,0,D,,15,12,5,4,11,23,12,10,1,5,0,0,19.354166666666664,13.97083333333334,5.700000000000001
23/08/15,Lorient,St Etienne,0,1,A,0,0,D,,10,12,2,5,12,24,3,4,0,3,1,0,16.76666666666667,18.95,11.799999999999999
23/08/15,Marseille,Troyes,6,0,H,1,0,H,,16,6,7,1,8,9,6,5,1,1,0,0,23.337500000000002,21.59166666666667,4.1
28/08/15,Guingamp,Marseille,2,0,H,0,0,D,,12,14,5,6,10,13,4,8,1,5,0,0,15.424999999999999,10.674999999999999,0.0
29/08/15,Angers,Nice,1,1,D,1,0,H,,5,11,2,5,14,8,3,6,2,2,0,0,23.112499999999997,8.941666666666666,0.0
29/08/15,Caen,Lyon,0,4,A,0,2,A,,14,13,6,5,13,17,8,3,1,0,1,0,18.262500000000003,9.491666666666669,1.3
29/08/15,Lille,Ajaccio GFCO,1,0,H,1,0,H,,13,12,5,6,13,17,7,4,1,3,0,0,18.3625,7.033333333333332,0.0
29/08/15,Reims,Lorient,4,1,H,1,0,H,,14,13,10,4,12,8,5,5,3,1,0,0,21.64166666666667,7.7749999999999995,0.0
29/08/15,Rennes,Toulouse,3,1,H,1,1,D,,13,8,5,3,12,9,7,3,2,3,0,0,19.73333333333333,8.458333333333334,0.1
29/08/15,Troyes,Montpellier,0,0,D,0,0,D,,8,13,1,4,16,10,4,5,2,1,0,0,23.39583333333334,6.800000000000001,0.0
30/08/15,Bordeaux,Nantes,2,0,H,1,0,H,,19,11,4,1,9,17,7,5,3,3,0,1,27.700000000000003,9.879166666666665,0.0
30/08/15,Monaco,Paris SG,0,3,A,0,0,D,,3,19,2,8,7,12,3,2,0,1,0,0,24.500000000000004,5.941666666666666,0.0
30/08/15,St Etienne,Bastia,2,1,H,1,1,D,,23,6,6,1,11,6,12,0,1,1,0,2,22.425,14.891666666666664,0.0
11/09/15,Paris SG,Bordeaux,2,2,D,2,1,H,,19,10,5,3,11,14,11,6,2,2,0,1,16.458333333333332,6.55,0.0
12/09/15,Lorient,Angers,3,1,H,0,1,A,,14,7,6,1,10,18,6,2,1,1,0,0,15.970833333333333,18.074999999999996,1.5
12/09/15,Lyon,Lille,0,0,D,0,0,D,,13,9,6,3,14,20,7,1,1,4,0,0,20.716666666666665,14.104166666666664,1.5000000000000002
12/09/15,Montpellier,St Etienne,1,2,A,0,1,A,,16,12,8,3,16,20,9,5,3,2,0,0,20.15416666666667,29.2375,29.0
12/09/15,Nice,Guingamp,0,1,A,0,0,D,,16,8,1,3,10,23,1,1,1,3,0,0,20.000000000000004,8.266666666666667,0.0
12/09/15,Toulouse,Reims,2,2,D,2,0,H,,15,9,6,4,10,15,2,4,2,2,0,0,20.458333333333336,9.875000000000002,5.7
12/09/15,Troyes,Caen,1,3,A,0,2,A,,14,15,6,8,7,9,6,5,4,0,0,1,17.470833333333335,12.937499999999998,8.4
13/09/15,Ajaccio GFCO,Monaco,0,1,A,0,1,A,,24,13,4,8,16,15,14,4,3,3,0,0,25.504166666666666,15.587499999999999,0.0
13/09/15,Marseille,Bastia,4,1,H,1,0,H,,12,6,7,2,11,9,5,0,2,1,0,0,22.133333333333336,23.212499999999995,17.1
13/09/15,Nantes,Rennes,0,2,A,0,0,D,,10,16,3,6,14,11,1,6,2,3,2,0,14.420833333333333,13.062499999999998,9.499999999999998
18/09/15,Rennes,Lille,1,1,D,0,0,D,,9,15,3,5,17,18,8,2,3,4,0,1,14.745833333333335,14.095833333333337,3.5000000000000004
19/09/15,Angers,Troyes,1,0,H,0,0,D,,16,14,4,0,15,15,6,5,2,3,1,0,14.716666666666661,8.25,0.2
19/09/15,Bastia,Nice,1,3,A,1,2,A,,8,9,2,6,11,14,7,3,1,2,0,0,22.19583333333333,14.058333333333335,0.0
19/09/15,Caen,Montpellier,2,1,H,1,1,D,,16,3,6,2,15,24,3,5,2,4,0,0,14.18333333333333,8.104166666666666,0.5
19/09/15,Guingamp,Ajaccio GFCO,2,1,H,1,1,D,,14,7,4,3,6,16,10,1,2,4,0,1,13.970833333333337,10.35,0.0
19/09/15,Reims,Paris SG,1,1,D,0,0,D,,7,17,3,6,9,9,3,9,2,2,0,0,13.954166666666667,9.487499999999999,1.0
20/09/15,Bordeaux,Toulouse,1,1,D,0,1,A,,17,9,5,5,18,11,6,3,2,2,0,1,15.895833333333334,6.962499999999999,0.0
20/09/15,Marseille,Lyon,1,1,D,0,1,A,,14,12,4,5,15,12,1,5,4,1,1,0,18.654166666666672,19.23333333333333,0.0
20/09/15,Monaco,Lorient,2,3,A,1,2,A,,13,16,6,7,11,15,3,3,4,4,0,0,20.475,5.720833333333334,0.0
20/09/15,St Etienne,Nantes,2,0,H,1,0,H,,12,11,3,2,11,9,3,9,2,1,0,0,12.045833333333334,17.750000000000004,0.0
22/09/15,Angers,Reims,0,0,D,0,0,D,,8,3,3,1,8,19,1,3,1,3,0,0,13.770833333333334,19.275,3.4
22/09/15,Paris SG,Guingamp,3,0,H,1,0,H,,18,10,10,4,10,10,9,4,1,1,0,0,13.850000000000001,19.9875,7.5
23/09/15,Ajaccio GFCO,Rennes,1,1,D,1,0,H,,13,16,2,8,6,14,3,3,0,1,0,0,19.320833333333333,16.00416666666667,0.1
23/09/15,Lorient,Caen,2,0,H,2,0,H,,8,14,4,2,13,10,4,11,2,2,0,0,14.070833333333335,13.950000000000001,0.0
23/09/15,Lyon,Bastia,2,0,H,1,0,H,,14,4,7,2,9,7,3,2,2,1,0,1,12.483333333333334,11.187499999999998,0.5
23/09/15,Nice,Bordeaux,6,1,H,2,1,H,,17,6,10,3,14,8,4,4,0,1,0,1,18.212500000000002,11.125000000000002,1.4000000000000001
23/09/15,Toulouse,Marseille,1,1,D,0,0,D,,11,8,3,1,12,14,3,5,2,0,2,1,14.579166666666667,14.06666666666667,3.6
23/09/15,Troyes,St Etienne,0,1,A,0,1,A,,14,13,4,6,10,14,7,6,3,0,0,0,13.079166666666667,13.554166666666669,1.6
24/09/15,Montpellier,Monaco,2,3,A,2,0,H,,16,13,5,5,13,18,2,7,2,1,0,0,17.220833333333335,20.504166666666666,0.0
25/09/15,Reims,Lille,1,0,H,0,0,D,,10,10,5,3,16,23,4,6,3,3,0,0,14.495833333333335,5.983333333333333,0.0
26/09/15,Bastia,Toulouse,3,0,H,3,0,H,,9,16,6,5,10,10,1,18,3,3,0,0,20.762499999999996,13.329166666666667,0.0
26/09/15,Bordeaux,Lyon,3,1,H,3,0,H,,10,10,4,4,10,9,3,5,2,0,0,0,16.53333333333333,10.429166666666665,0.0
26/09/15,Caen,Ajaccio GFCO,2,0,H,1,0,H,,16,8,9,2,12,15,8,7,1,4,0,0,12.670833333333333,12.616666666666665,0.0
26/09/15,Nantes,Paris SG,1,4,A,1,0,H,,7,14,2,7,20,9,4,7,2,1,0,0,14.666666666666666,14.104166666666666,0.0
26/09/15,Rennes,Troyes,1,1,D,0,1,A,,19,12,5,6,11,9,8,3,1,3,1,0,13.899999999999999,11.133333333333335,0.0
27/09/15,Guingamp,Monaco,3,3,D,1,2,A,,16,9,7,4,19,16,4,1,5,3,0,0,14.06666666666667,21.229166666666668,0.0
27/09/15,Marseille,Angers,1,2,A,0,1,A,,18,6,4,3,12,13,6,4,3,3,0,0,19.920833333333327,5.900000000000001,0.0
27/09/15,Montpellier,Lorient,2,1,H,1,0,H,,11,10,4,3,11,21,9,3,2,5,0,1,17.89166666666667,6.754166666666666,0.0
27/09/15,St Etienne,Nice,1,4,A,1,3,A,,13,8,5,6,12,7,8,2,4,1,0,2,12.4375,8.975000000000001,0.0
29/09/15,Lille,Nantes,0,1,A,0,1,A,,20,9,4,2,8,21,11,2,0,3,0,0,12.20833333333333,17.78333333333333,0.0
02/10/15,Lille,Montpellier,2,0,H,1,0,H,,22,9,5,3,17,15,9,2,3,1,0,0,10.700000000000001,9.979166666666666,0.0
03/10/15,Ajaccio GFCO,Toulouse,2,2,D,2,1,H,,7,12,3,5,16,11,6,7,3,0,0,0,20.158333333333335,11.075000000000003,0.0
03/10/15,Angers,Bastia,1,0,H,1,0,H,,17,8,6,2,16,16,7,5,1,2,0,0,14.779166666666667,4.629166666666667,0.1
03/10/15,Lyon,Reims,1,0,H,1,0,H,,17,8,6,3,11,9,5,1,2,2,0,0,14.262500000000001,7.533333333333334,33.6
03/10/15,Troyes,Guingamp,0,1,A,0,0,D,,12,18,2,7,22,16,5,4,1,2,1,0,14.454166666666667,7.8500000000000005,0.3
04/10/15,Caen,St Etienne,1,0,H,0,0,D,,14,10,7,3,11,13,5,7,0,3,0,0,12.183333333333332,13.341666666666663,4.0
04/10/15,Lorient,Bordeaux,3,2,H,0,1,A,,7,9,4,5,8,17,3,5,0,2,1,1,14.987500000000002,25.287500000000005,10.200000000000001
04/10/15,Monaco,Rennes,1,1,D,0,1,A,,14,8,6,3,14,16,8,3,3,2,0,0,17.770833333333332,6.645833333333332,4.5
04/10/15,Paris SG,Marseille,2,1,H,2,1,H,,16,13,8,8,13,12,4,6,2,3,0,0,13.195833333333338,9.795833333333334,1.1
16/10/15,Monaco,Lyon,1,1,D,1,0,H,,12,18,4,6,19,16,3,4,2,2,1,0,12.716666666666669,5.558333333333334,0.30000000000000004
17/10/15,Bastia,Paris SG,0,2,A,0,0,D,,6,13,2,5,14,15,2,3,3,1,0,0,15.625,10.954166666666667,0.0
17/10/15,Guingamp,Lille,1,1,D,1,1,D,,10,10,2,2,11,25,3,3,1,3,0,1,12.324999999999998,17.512500000000003,0.0
17/10/15,Nantes,Troyes,3,0,H,1,0,H,,17,14,4,2,4,8,5,4,0,1,0,0,10.708333333333334,10.874999999999998,0.0
17/10/15,Reims,Caen,0,1,A,0,0,D,,12,11,2,4,13,16,4,6,2,3,0,0,7.762500000000002,7.1625000000000005,1.4000000000000006
17/10/15,St Etienne,Ajaccio GFCO,2,0,H,1,0,H,,13,4,6,0,11,13,5,3,0,0,0,0,5.258333333333334,3.862499999999999,0.0
17/10/15,Toulouse,Angers,1,2,A,1,2,A,,21,7,6,5,12,17,9,1,1,1,0,0,10.479166666666668,10.4125,0.0
18/10/15,Bordeaux,Montpellier,0,0,D,0,0,D,,16,6,3,0,16,10,7,2,4,2,0,0,12.516666666666666,9.554166666666665,5.6000000000000005
18/10/15,Marseille,Lorient,1,1,D,1,1,D,,21,6,8,2,19,14,11,4,1,3,0,0,15.245833333333335,9.741666666666665,9.799999999999999
18/10/15,Rennes,Nice,1,4,A,0,1,A,,15,12,3,7,15,7,4,3,2,2,0,0,10.6625,10.195833333333335,0.0
23/10/15,Caen,Nantes,0,2,A,0,1,A,,16,10,4,3,8,19,7,6,1,2,0,0,11.804166666666669,7.304166666666666,0.0
23/10/15,Lyon,Toulouse,3,0,H,1,0,H,,20,7,8,3,16,18,4,5,1,4,0,0,11.845833333333331,8.566666666666666,0.0
24/10/15,Ajaccio GFCO,Nice,3,1,H,3,1,H,,13,9,6,2,16,11,5,3,3,3,1,0,17.875000000000004,6.1000000000000005,0.0
24/10/15,Angers,Guingamp,0,0,D,0,0,D,,10,11,2,2,20,12,7,7,2,2,1,0,12.199999999999998,9.674999999999999,0.0
24/10/15,Lorient,Rennes,1,1,D,1,0,H,,10,11,5,3,12,15,3,8,0,0,1,1,13.879166666666668,19.666666666666664,0.0
24/10/15,Montpellier,Bastia,2,0,H,0,0,D,,10,13,3,1,8,12,5,4,1,3,0,0,14.216666666666669,10.420833333333333,0.0
25/10/15,Bordeaux,Troyes,1,0,H,0,0,D,,16,11,4,2,9,16,5,4,1,4,0,0,14.279166666666667,6.754166666666667,0.0
25/10/15,Lille,Marseille,1,2,A,0,1,A,,10,12,4,6,14,24,3,5,3,4,0,0,11.200000000000003,9.929166666666669,0.0
25/10/15,Paris SG,St Etienne,4,1,H,1,0,H,,21,14,10,6,9,15,5,0,0,0,0,0,12.012499999999998,10.054166666666667,0.0
25/10/15,Reims,Monaco,0,1,A,0,1,A,,13,16,6,4,13,12,3,5,1,2,1,0,11.875,8.604166666666666,0.1
30/10/15,Rennes,Paris SG,0,1,A,0,0,D,,5,13,2,5,14,11,1,3,0,0,0,0,15.416666666666666,15.350000000000001,0.0
31/10/15,Ajaccio GFCO,Bordeaux,2,0,H,1,0,H,,7,7,4,0,20,10,2,5,3,4,1,0,17.920833333333338,4.5666666666666655,0.4
31/10/15,Bastia,Caen,1,0,H,1,0,H,,11,5,6,3,12,17,8,2,1,2,0,0,16.595833333333335,19.658333333333335,0.0
31/10/15,Guingamp,Lorient,2,2,D,1,0,H,,13,12,4,4,10,19,4,3,3,1,1,1,14.420833333333334,12.329166666666667,0.0
31/10/15,St Etienne,Reims,3,0,H,0,0,D,,20,8,8,5,11,10,7,12,1,1,0,0,10.275,6.712500000000001,0.0
31/10/15,Toulouse,Montpellier,1,1,D,1,1,D,,10,7,5,1,22,15,3,7,4,2,0,0,16.483333333333334,25.94583333333333,0.0
31/10/15,Troyes,Lyon,0,1,A,0,0,D,,8,31,2,6,12,14,3,10,2,0,1,0,12.233333333333336,10.525,0.0
01/11/15,Monaco,Angers,1,0,H,1,0,H,,13,15,2,5,7,21,2,4,3,4,0,0,16.779166666666665,10.787500000000001,0.0
01/11/15,Nantes,Marseille,0,1,A,0,0,D,,12,12,4,3,20,18,5,2,2,1,0,0,13.754166666666665,10.9375,0.0
01/11/15,Nice,Lille,0,0,D,0,0,D,,9,9,4,1,24,26,7,5,3,3,0,0,15.383333333333335,10.787500000000001,0.0
04/11/15,Nice,Nantes,1,2,A,1,1,D,,9,12,3,6,7,16,3,6,1,3,0,0,14.783333333333337,3.9333333333333322,0.0
06/11/15,Angers,Rennes,0,2,A,0,1,A,,18,10,3,2,8,15,5,2,1,2,0,0,16.416666666666664,13.8375,3.4000000000000004
07/11/15,Caen,Guingamp,2,1,H,0,0,D,,16,13,5,6,11,14,11,6,1,1,0,0,16.77916666666667,19.083333333333336,0.0
07/11/15,Lille,Bastia,1,1,D,0,0,D,,10,9,1,2,14,12,5,5,1,3,1,0,17.191666666666666,18.724999999999998,0.0
07/11/15,Lorient,Troyes,4,1,H,1,0,H,,29,13,10,6,9,11,10,5,0,0,0,0,16.029166666666665,20.42083333333333,0.0
07/11/15,Montpellier,Nantes,2,1,H,1,0,H,,10,10,4,2,6,14,2,6,0,4,0,0,14.358333333333336,6.145833333333332,0.0
07/11/15,Paris SG,Toulouse,5,0,H,2,0,H,,15,7,9,0,13,13,5,0,2,1,0,0,17.495833333333334,12.0625,0.0
07/11/15,Reims,Ajaccio GFCO,1,2,A,0,1,A,,13,11,2,4,10,12,7,1,3,2,0,0,17.483333333333334,12.958333333333334,0.4
