Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,temperature,wind_speed,precipitation
12/08/16,Bastia,Paris SG,0,1,A,0.0,0.0,D,,10.0,9.0,0.0,6.0,15.0,16.0,2.0,6.0,3.0,3.0,0.0,0.0,23.491666666666674,12.220833333333333,0.0
12/08/16,Monaco,Guingamp,2,2,D,0.0,2.0,A,,18.0,9.0,4.0,5.0,14.0,15.0,8.0,2.0,3.0,4.0,0.0,0.0,21.762500000000003,5.979166666666667,0.0
13/08/16,Bordeaux,St Etienne,3,2,H,1.0,0.0,H,,10.0,14.0,6.0,5.0,9.0,20.0,3.0,6.0,1.0,2.0,0.0,0.0,25.754166666666663,7.845833333333332,0.0
13/08/16,Caen,Lorient,3,2,H,2.0,2.0,D,,15.0,8.0,6.0,2.0,13.0,9.0,10.0,2.0,1.0,2.0,0.0,1.0,17.958333333333336,7.224999999999999,0.0
13/08/16,Dijon,Nantes,0,1,A,0.0,0.0,D,,6.0,10.0,2.0,3.0,6.0,11.0,3.0,4.0,0.0,2.0,0.0,0.0,21.425,3.0666666666666664,0.0
13/08/16,Metz,Lille,3,2,H,0.0,1.0,A,,7.0,13.0,3.0,4.0,13.0,9.0,4.0,5.0,2.0,2.0,0.0,0.0,20.52916666666667,8.329166666666667,0.0
13/08/16,Montpellier,Angers,1,0,H,1.0,0.0,H,,14.0,12.0,3.0,2.0,9.0,12.0,7.0,2.0,1.0,2.0,0.0,0.0,22.658333333333335,9.220833333333331,0.0
14/08/16,Marseille,Toulouse,0,0,D,0.0,0.0,D,,10.0,6.0,2.0,2.0,14.0,12.0,9.0,6.0,3.0,1.0,0.0,0.0,24.90833333333333,6.679166666666667,0.0
14/08/16,Nancy,Lyon,0,3,A,0.0,2.0,A,,11.0,9.0,1.0,7.0,18.0,14.0,4.0,4.0,4.0,2.0,0.0,0.0,21.524999999999995,5.7625,0.0
14/08/16,Nice,Rennes,1,0,H,0.0,0.0,D,,7.0,19.0,1.0,4.0,12.0,9.0,4.0,8.0,0.0,1.0,0.0,0.0,25.20416666666667,5.329166666666667,0.1
19/08/16,Lyon,Caen,2,0,H,1.0,0.0,H,,21.0,7.0,7.0,1.0,17.0,14.0,13.0,3.0,3.0,4.0,0.0,0.0,22.058333333333334,6.183333333333331,0.0
20/08/16,Angers,Nice,0,1,A,0.0,1.0,A,,21.0,14.0,6.0,8.0,11.0,10.0,10.0,3.0,1.0,2.0,0.0,0.0,18.46666666666667,17.670833333333334,0.2
20/08/16,Lille,Dijon,1,0,H,0.0,0.0,D,,10.0,7.0,3.0,2.0,12.0,15.0,6.0,5.0,1.0,2.0,0.0,0.0,18.387499999999996,17.683333333333334,0.0
20/08/16,Lorient,Bastia,0,3,A,0.0,2.0,A,,10.0,16.0,3.0,7.0,15.0,11.0,2.0,5.0,2.0,4.0,2.0,0.0,17.9625,29.78749999999999,0.2
20/08/16,Nantes,Monaco,0,1,A,0.0,1.0,A,,8.0,8.0,2.0,3.0,15.0,18.0,10.0,3.0,2.0,4.0,0.0,0.0,18.45,19.362499999999997,0.6
20/08/16,Rennes,Nancy,2,0,H,1.0,0.0,H,,9.0,8.0,3.0,1.0,11.0,8.0,3.0,7.0,4.0,2.0,0.0,0.0,18.500000000000004,19.70416666666667,0.0
20/08/16,Toulouse,Bordeaux,4,1,H,2.0,0.0,H,,11.0,9.0,5.0,2.0,19.0,14.0,3.0,6.0,1.0,3.0,0.0,1.0,20.133333333333336,12.566666666666668,5.500000000000001
21/08/16,Guingamp,Marseille,2,1,H,1.0,0.0,H,,14.0,8.0,4.0,3.0,9.0,15.0,4.0,6.0,0.0,1.0,0.0,0.0,17.34583333333333,23.337500000000002,1.2
21/08/16,Paris SG,Metz,3,0,H,0.0,0.0,D,,29.0,11.0,8.0,6.0,10.0,6.0,15.0,2.0,1.0,1.0,0.0,0.0,18.187500000000004,16.095833333333335,0.0
21/08/16,St Etienne,Montpellier,3,1,H,0.0,1.0,A,,14.0,13.0,5.0,3.0,9.0,12.0,4.0,6.0,1.0,1.0,0.0,0.0,16.670833333333334,12.279166666666669,0.0
26/08/16,Marseille,Lorient,2,0,H,1.0,0.0,H,,13.0,10.0,8.0,5.0,15.0,11.0,3.0,4.0,1.0,1.0,0.0,0.0,26.245833333333337,7.3625,0.0
27/08/16,Caen,Bastia,2,0,H,0.0,0.0,D,,17.0,5.0,4.0,1.0,15.0,20.0,5.0,2.0,1.0,5.0,0.0,0.0,24.150000000000002,11.037500000000001,0.7
27/08/16,Dijon,Lyon,4,2,H,2.0,2.0,D,,8.0,25.0,5.0,9.0,11.0,9.0,2.0,10.0,2.0,2.0,0.0,0.0,26.09583333333333,6.808333333333333,1.5000000000000002
27/08/16,Metz,Angers,2,0,H,1.0,0.0,H,,7.0,23.0,2.0,7.0,9.0,11.0,5.0,9.0,2.0,2.0,0.0,0.0,26.954166666666666,7.691666666666666,0.0
27/08/16,Montpellier,Rennes,1,1,D,1.0,0.0,H,,11.0,12.0,5.0,2.0,13.0,16.0,4.0,4.0,1.0,2.0,0.0,0.0,23.69583333333333,7.304166666666666,0.0
27/08/16,Nancy,Guingamp,0,2,A,0.0,0.0,D,,19.0,14.0,3.0,6.0,9.0,10.0,5.0,3.0,2.0,1.0,0.0,0.0,27.004166666666666,8.170833333333333,0.2
27/08/16,Nice,Lille,1,1,D,1.0,1.0,D,,13.0,8.0,6.0,3.0,13.0,13.0,4.0,6.0,2.0,2.0,0.0,0.0,25.641666666666666,5.587500000000001,0.0
28/08/16,Bordeaux,Nantes,1,0,H,1.0,0.0,H,,9.0,16.0,7.0,6.0,16.0,16.0,4.0,8.0,2.0,1.0,0.0,0.0,22.862499999999997,9.745833333333334,0.0
28/08/16,Monaco,Paris SG,3,1,H,2.0,0.0,H,,9.0,6.0,2.0,2.0,9.0,10.0,2.0,7.0,1.0,2.0,0.0,0.0,24.66666666666667,5.0875,0.0
28/08/16,St Etienne,Toulouse,0,0,D,0.0,0.0,D,,16.0,9.0,3.0,2.0,9.0,16.0,7.0,4.0,2.0,1.0,0.0,0.0,23.804166666666664,7.779166666666668,0.0
09/09/16,Paris SG,St Etienne,1,1,D,0.0,0.0,D,,15.0,5.0,4.0,2.0,11.0,13.0,4.0,1.0,2.0,4.0,0.0,0.0,19.425,7.1958333333333355,0.0
