Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,temperature,wind_speed,precipitation
09/08/13,Montpellier,Paris SG,1,1,D,1,0,H,,6,12,1,4,22,18,1,8,2,2,1,0,22.995833333333337,28.02083333333333,0.0
10/08/13,Bordeaux,Monaco,0,2,A,0,0,D,,11,13,2,6,16,11,3,7,1,0,0,0,20.55,6.4375,0.0
10/08/13,Evian Thonon Gaillard,Sochaux,1,1,D,1,0,H,,15,9,8,6,13,18,5,5,1,2,0,0,18.82083333333333,8.229166666666666,0.0
10/08/13,Lille,Lorient,1,0,H,1,0,H,,6,6,3,3,18,18,4,3,1,1,0,1,17.224999999999998,9.391666666666667,0.0
10/08/13,Lyon,Nice,4,0,H,1,0,H,,12,11,6,5,20,9,2,5,1,0,0,0,20.6125,13.066666666666668,0.0
10/08/13,Nantes,Bastia,2,0,H,1,0,H,,7,9,3,0,14,14,2,2,1,3,1,1,18.29583333333333,8.370833333333334,0.0
10/08/13,Rennes,Reims,2,1,H,1,1,D,,13,15,6,5,7,15,4,8,1,2,0,0,17.212499999999995,8.65,0.0
10/08/13,Valenciennes,Toulouse,3,0,H,1,0,H,,19,2,7,1,22,12,6,0,2,0,0,1,16.733333333333334,9.445833333333335,0.1
11/08/13,Ajaccio,St Etienne,0,1,A,0,1,A,,7,8,1,2,16,20,1,3,0,1,1,0,26.375,8.687499999999998,0.0
11/08/13,Guingamp,Marseille,1,3,A,0,3,A,,13,16,5,7,16,19,9,3,2,4,0,0,17.383333333333333,11.666666666666666,0.0
16/08/13,Sochaux,Lyon,1,3,A,1,2,A,,11,15,8,8,14,19,8,5,3,0,0,0,19.562499999999996,7.341666666666665,0.0
17/08/13,Bastia,Valenciennes,2,0,H,0,0,D,,9,7,2,3,13,15,6,4,2,2,0,0,25.5125,4.512499999999999,0.0
17/08/13,Marseille,Evian Thonon Gaillard,2,0,H,1,0,H,,8,16,3,4,11,12,3,8,3,1,0,0,25.44583333333333,6.9624999999999995,0.0
17/08/13,Nice,Rennes,2,1,H,1,1,D,,15,4,5,3,12,19,5,0,0,1,0,1,24.58333333333334,5.133333333333333,0.4
17/08/13,Reims,Lille,2,1,H,1,0,H,,10,15,3,3,12,14,3,7,1,0,0,0,21.525000000000002,10.570833333333333,0.1
17/08/13,St Etienne,Guingamp,1,0,H,0,0,D,,9,5,1,2,13,11,6,4,4,3,0,0,20.76666666666667,5.579166666666668,0.1
17/08/13,Toulouse,Bordeaux,1,1,D,1,1,D,,12,8,6,4,16,17,6,2,3,1,0,1,23.0,7.695833333333333,3.4000000000000004
18/08/13,Lorient,Nantes,2,1,H,1,1,D,,14,8,8,3,8,19,10,3,1,1,0,0,19.27916666666666,21.062499999999996,1.6
18/08/13,Monaco,Montpellier,4,1,H,2,1,H,,13,5,7,3,21,15,9,1,2,3,0,1,24.141666666666662,5.529166666666668,0.4
18/08/13,Paris SG,Ajaccio,1,1,D,0,1,A,,37,1,15,1,17,11,12,1,2,3,0,0,21.008333333333336,17.225,2.6999999999999997
23/08/13,Monaco,Toulouse,0,0,D,0,0,D,,21,3,5,0,17,24,4,1,1,3,0,0,23.916666666666668,4.9,0.1
24/08/13,Bordeaux,Bastia,1,0,H,1,0,H,,12,4,5,2,13,17,2,4,2,2,0,0,20.458333333333332,14.875000000000002,0.1
24/08/13,Evian Thonon Gaillard,Rennes,1,2,A,0,2,A,,17,11,5,4,10,14,3,5,2,3,0,0,18.137500000000003,4.699999999999999,23.300000000000004
24/08/13,Guingamp,Lorient,2,0,H,1,0,H,,10,11,3,5,17,17,6,5,2,2,0,0,16.337500000000002,25.629166666666666,0.1
24/08/13,Lyon,Reims,0,1,A,0,0,D,,19,6,5,2,17,13,7,1,1,2,0,0,20.116666666666664,5.3999999999999995,21.2
24/08/13,Montpellier,Sochaux,2,1,H,1,1,D,,12,9,4,1,24,17,1,3,2,3,0,1,23.5,16.912500000000005,0.30000000000000004
24/08/13,Valenciennes,Marseille,0,1,A,0,0,D,,7,18,2,6,22,15,6,11,1,3,0,0,18.495833333333334,12.85416666666667,5.7
25/08/13,Ajaccio,Nice,0,0,D,0,0,D,,5,10,2,2,20,13,5,3,0,0,0,0,22.82916666666667,11.716666666666661,0.0
25/08/13,Lille,St Etienne,1,0,H,1,0,H,,12,6,5,2,11,20,4,2,2,1,0,0,16.437500000000004,9.9,1.3
25/08/13,Nantes,Paris SG,1,2,A,0,1,A,,13,13,3,6,10,14,8,6,1,1,0,0,18.275000000000002,12.1,9.9
31/08/13,Bastia,Toulouse,2,1,H,1,0,H,,7,9,4,3,15,18,4,3,2,4,1,0,23.82916666666667,8.200000000000001,0.0
31/08/13,Evian Thonon Gaillard,Lyon,2,1,H,2,0,H,,15,6,5,2,10,13,3,10,1,1,0,0,19.779166666666672,6.129166666666666,0.0
31/08/13,Lorient,Valenciennes,1,0,H,1,0,H,,15,8,3,1,9,19,6,5,1,1,0,1,18.516666666666666,13.762499999999998,0.0
31/08/13,Paris SG,Guingamp,2,0,H,0,0,D,,25,7,7,1,13,15,13,1,1,2,0,0,18.579166666666662,10.279166666666667,0.1
31/08/13,Reims,Nantes,0,0,D,0,0,D,,7,9,2,2,11,3,4,0,1,0,0,0,17.720833333333335,10.325000000000001,0.8
31/08/13,Rennes,Lille,0,0,D,0,0,D,,11,10,2,1,10,15,2,2,1,2,0,0,18.31666666666667,12.862500000000002,0.0
31/08/13,Sochaux,Ajaccio,0,0,D,0,0,D,,17,9,5,2,8,11,5,2,1,1,0,0,18.487499999999997,6.045833333333333,0.0
01/09/13,Marseille,Monaco,1,2,A,1,0,H,,10,12,2,4,16,13,6,10,2,3,0,0,24.762500000000003,12.741666666666665,0.0
01/09/13,Nice,Montpellier,2,2,D,2,1,H,,12,5,4,3,18,19,4,2,3,4,0,1,23.104166666666668,4.837499999999999,1.0
01/09/13,St Etienne,Bordeaux,2,1,H,1,0,H,,12,13,5,5,17,10,4,4,2,1,0,0,17.008333333333333,18.920833333333334,0.0
13/09/13,Bordeaux,Paris SG,0,2,A,0,1,A,,6,14,1,7,14,13,1,5,2,2,0,0,19.183333333333337,4.624999999999999,0.0
14/09/13,Ajaccio,Evian Thonon Gaillard,2,3,A,0,2,A,,18,12,8,5,10,20,7,5,2,3,0,0,20.400000000000002,10.408333333333333,0.0
14/09/13,Guingamp,Bastia,1,1,D,0,0,D,,7,11,5,1,19,18,1,1,2,3,0,0,14.312499999999998,18.950000000000003,4.7
14/09/13,Montpellier,Reims,0,0,D,0,0,D,,16,9,3,3,8,8,4,3,2,2,0,0,19.441666666666666,10.812500000000002,0.0
14/09/13,Nantes,Sochaux,1,0,H,0,0,D,,11,1,5,0,12,8,3,2,0,1,0,0,15.516666666666671,15.358333333333333,17.6
14/09/13,Toulouse,Marseille,1,1,D,0,0,D,,20,15,4,8,17,13,6,5,2,2,0,0,19.52916666666667,5.745833333333333,0.3
14/09/13,Valenciennes,St Etienne,1,3,A,0,1,A,,10,10,3,4,11,9,5,0,2,1,0,0,15.245833333333332,17.245833333333337,4.199999999999999
15/09/13,Lille,Nice,0,2,A,0,2,A,,22,5,9,4,16,16,10,2,3,3,0,0,13.7125,14.450000000000001,4.9
15/09/13,Lyon,Rennes,0,0,D,0,0,D,,18,5,6,3,16,14,8,2,0,1,0,0,15.037500000000003,12.125000000000005,14.1
15/09/13,Monaco,Lorient,1,0,H,1,0,H,,11,6,3,0,13,16,2,1,3,3,0,0,19.362499999999997,6.541666666666667,0.4
20/09/13,St Etienne,Toulouse,1,2,A,1,0,H,,18,11,3,6,19,17,4,5,2,2,0,0,12.804166666666667,9.691666666666665,0.0
21/09/13,Bastia,Marseille,0,0,D,0,0,D,,12,11,5,1,19,10,4,4,2,0,0,0,20.908333333333335,6.0541666666666645,0.0
21/09/13,Evian Thonon Gaillard,Montpellier,2,2,D,0,1,A,,12,8,5,3,12,11,3,1,2,3,0,1,14.349999999999996,6.000000000000001,0.0
21/09/13,Reims,Guingamp,1,1,D,0,1,A,,15,15,3,4,15,12,7,6,3,1,0,0,14.495833333333332,4.608333333333334,0.0
21/09/13,Rennes,Ajaccio,2,0,H,2,0,H,,14,17,7,2,20,13,6,6,2,2,0,0,16.0625,3.1458333333333326,0.0
21/09/13,Sochaux,Lille,0,2,A,0,2,A,,14,15,6,8,18,14,4,4,2,1,0,0,12.775,4.895833333333333,0.0
22/09/13,Lorient,Bordeaux,3,3,D,2,3,A,,16,11,10,3,13,14,3,4,1,2,0,0,18.504166666666666,14.316666666666665,0.0
22/09/13,Lyon,Nantes,3,1,H,1,1,D,,11,9,5,2,18,12,6,4,0,0,0,0,15.8125,7.4624999999999995,0.0
22/09/13,Nice,Valenciennes,4,0,H,2,0,H,,10,8,5,1,13,14,4,3,1,2,0,0,20.60833333333333,4.441666666666666,0.0
22/09/13,Paris SG,Monaco,1,1,D,1,1,D,,18,15,2,4,5,18,6,2,1,3,0,0,18.391666666666666,4.270833333333333,0.0
24/09/13,Lille,Evian Thonon Gaillard,3,0,H,2,0,H,,12,6,5,1,16,12,4,2,1,2,0,0,15.387499999999996,6.650000000000001,0.0
24/09/13,Marseille,St Etienne,2,1,H,2,1,H,,12,11,5,2,10,17,8,11,1,1,0,0,19.754166666666666,5.066666666666666,0.0
25/09/13,Ajaccio,Lyon,2,1,H,1,0,H,,7,15,3,8,18,18,1,6,5,2,0,1,21.245833333333337,3.983333333333334,0.0
25/09/13,Bordeaux,Reims,0,0,D,0,0,D,,20,9,7,3,15,23,15,4,1,2,0,0,21.829166666666666,6.4875,0.0
25/09/13,Guingamp,Sochaux,5,1,H,3,0,H,,14,15,7,6,14,18,3,2,2,4,0,0,17.908333333333335,6.4624999999999995,1.0999999999999999
25/09/13,Monaco,Bastia,3,0,H,2,0,H,,19,12,9,5,9,14,10,5,1,1,0,0,19.395833333333332,6.379166666666667,0.0
25/09/13,Nantes,Nice,2,0,H,1,0,H,,16,4,6,0,10,12,8,0,1,1,0,0,18.970833333333335,5.579166666666667,0.0
25/09/13,Toulouse,Lorient,1,0,H,0,0,D,,14,11,4,4,13,17,6,3,1,2,0,0,22.245833333333334,13.862499999999999,0.0
25/09/13,Valenciennes,Paris SG,0,1,A,0,1,A,,14,6,3,2,13,10,8,4,1,4,0,0,15.579166666666667,5.3625,0.5
26/09/13,Montpellier,Rennes,0,0,D,0,0,D,,20,8,4,3,18,14,7,2,3,1,0,0,19.733333333333334,9.720833333333333,0.9
28/09/13,Evian Thonon Gaillard,Bordeaux,1,1,D,1,0,H,,11,17,2,7,23,17,6,8,3,3,0,1,18.649999999999995,4.362500000000001,0.0
28/09/13,Lorient,Marseille,0,2,A,0,0,D,,15,12,6,4,6,11,6,2,1,1,0,0,18.94583333333333,11.870833333333332,1.0999999999999999
28/09/13,Lyon,Lille,0,0,D,0,0,D,,6,14,1,5,15,12,1,7,3,2,0,0,20.570833333333336,13.858333333333333,0.0
28/09/13,Nice,Guingamp,1,0,H,0,0,D,,16,10,7,4,17,16,10,3,1,2,0,0,20.12083333333333,6.720833333333334,0.0
28/09/13,Paris SG,Toulouse,2,0,H,1,0,H,,14,7,4,3,12,15,6,2,0,3,0,0,18.79583333333333,11.845833333333333,7.1000000000000005
28/09/13,Sochaux,Valenciennes,2,0,H,2,0,H,,8,15,5,2,14,16,4,12,4,3,0,0,18.062500000000004,11.208333333333334,0.0
28/09/13,St Etienne,Bastia,2,2,D,1,0,H,,20,4,7,2,5,15,5,1,2,4,0,0,18.75,17.79583333333333,0.0
29/09/13,Ajaccio,Montpellier,1,1,D,1,1,D,,10,12,2,7,16,15,6,6,3,1,1,1,21.600000000000005,16.604166666666668,24.800000000000004
29/09/13,Reims,Monaco,1,1,D,1,1,D,,13,16,3,7,15,12,6,7,1,1,1,0,17.78333333333334,14.65,1.3
29/09/13,Rennes,Nantes,1,3,A,0,2,A,,6,14,4,5,9,16,2,4,1,2,0,0,19.13333333333333,5.520833333333333,0.4
04/10/13,Bastia,Lorient,4,1,H,2,1,H,,15,9,10,2,15,20,4,6,2,4,0,1,20.599999999999998,27.033333333333342,1.1
05/10/13,Guingamp,Rennes,2,0,H,0,0,D,,22,6,8,2,17,15,9,3,0,1,0,1,15.233333333333334,10.291666666666666,0.0
05/10/13,Lille,Ajaccio,3,0,H,1,0,H,,18,6,6,1,14,11,8,4,1,1,0,0,15.220833333333333,8.141666666666667,1.4
05/10/13,Monaco,St Etienne,2,1,H,1,0,H,,11,8,6,5,14,17,7,0,1,6,0,0,17.650000000000002,6.187500000000003,19.900000000000002
05/10/13,Nantes,Evian Thonon Gaillard,3,0,H,2,0,H,,7,11,4,2,11,13,6,4,1,2,0,0,16.17083333333333,7.200000000000002,0.0
05/10/13,Toulouse,Nice,1,0,H,1,0,H,,8,10,2,3,18,13,1,4,1,1,0,0,17.270833333333332,14.116666666666665,8.4
05/10/13,Valenciennes,Reims,1,1,D,0,1,A,,18,9,11,4,15,16,22,4,0,2,0,0,15.516666666666664,8.129166666666668,0.7999999999999999
06/10/13,Bordeaux,Sochaux,4,1,H,2,1,H,,18,10,7,1,11,17,4,4,3,2,0,0,15.612500000000002,7.304166666666668,0.0
06/10/13,Marseille,Paris SG,1,2,A,1,1,D,,11,4,6,4,23,12,6,1,3,4,0,1,18.01666666666667,13.54166666666667,0.0
06/10/13,Montpellier,Lyon,5,1,H,2,0,H,,15,18,10,4,16,19,3,5,2,2,0,1,17.854166666666668,18.85833333333333,0.0
18/10/13,Nice,Marseille,1,0,H,1,0,H,,7,19,3,6,16,14,2,14,2,2,0,0,16.91666666666666,4.35,0.2
18/10/13,Reims,Toulouse,1,2,A,0,1,A,,11,13,5,7,18,12,4,4,2,2,1,0,12.116666666666667,10.933333333333332,0.0
19/10/13,Ajaccio,Nantes,0,1,A,0,0,D,,7,16,3,5,18,16,7,6,2,3,0,0,20.01666666666667,5.2,0.0
19/10/13,Evian Thonon Gaillard,Guingamp,1,2,A,1,0,H,,10,9,2,5,17,12,4,6,2,0,0,0,14.975000000000001,6.2875000000000005,0.30000000000000004
19/10/13,Montpellier,Lille,0,1,A,0,1,A,,11,9,4,2,7,17,5,4,0,3,0,0,18.099999999999998,29.145833333333332,9.7
19/10/13,Paris SG,Bastia,4,0,H,2,0,H,,20,11,8,2,9,15,6,3,0,2,0,0,14.545833333333334,12.754166666666668,0.9
19/10/13,Rennes,Valenciennes,2,2,D,1,0,H,,13,13,5,6,7,12,1,8,1,0,0,0,15.616666666666669,15.291666666666664,19.0
20/10/13,Lyon,Bordeaux,1,1,D,0,0,D,,18,9,6,1,16,15,5,5,1,2,1,0,16.337500000000002,15.741666666666665,3.6000000000000005
20/10/13,Sochaux,Monaco,2,2,D,0,2,A,,16,12,7,5,16,18,9,3,2,2,0,0,14.379166666666663,11.9625,6.3999999999999995
20/10/13,St Etienne,Lorient,3,2,H,2,1,H,,19,11,7,5,19,11,4,4,3,2,0,0,14.770833333333336,13.795833333333334,5.499999999999999
25/10/13,Nantes,Lille,0,1,A,0,1,A,,7,12,2,4,11,19,5,1,0,4,1,0,16.941666666666663,14.5,1.5
26/10/13,Bastia,Nice,1,0,H,1,0,H,,9,13,3,4,13,17,4,3,2,3,1,1,21.208333333333332,11.933333333333332,0.0
26/10/13,Guingamp,Ajaccio,2,1,H,0,1,A,,17,13,6,4,19,19,8,2,2,4,0,0,15.537500000000001,27.941666666666666,0.5
26/10/13,Lorient,Sochaux,2,1,H,1,0,H,,10,7,6,2,18,9,4,3,1,1,0,0,16.46666666666666,30.695833333333336,0.9999999999999999
26/10/13,Marseille,Reims,2,3,A,0,2,A,,16,8,5,4,13,16,8,5,2,0,0,0,20.266666666666662,13.69166666666667,0.0
26/10/13,Toulouse,Rennes,0,5,A,0,3,A,,16,14,2,10,11,15,4,2,1,1,0,0,20.70833333333333,15.733333333333333,0.30000000000000004
26/10/13,Valenciennes,Evian Thonon Gaillard,0,1,A,0,0,D,,10,5,2,3,10,11,7,4,1,3,0,0,16.458333333333332,20.033333333333335,0.0
27/10/13,Bordeaux,Montpellier,2,0,H,0,0,D,,16,5,7,1,21,9,6,3,3,0,0,1,16.999999999999996,14.145833333333327,0.0
27/10/13,Monaco,Lyon,2,1,H,2,0,H,,10,7,4,2,12,17,2,6,1,3,0,0,18.708333333333336,6.633333333333333,0.6000000000000001
27/10/13,St Etienne,Paris SG,2,2,D,1,0,H,,9,21,3,4,11,12,5,7,2,3,1,0,16.354166666666668,14.962499999999999,10.700000000000001
01/11/13,Paris SG,Lorient,4,0,H,3,0,H,,17,9,10,2,8,11,6,6,0,0,0,0,10.141666666666666,16.204166666666662,19.4
02/11/13,Ajaccio,Valenciennes,1,3,A,1,1,D,,13,14,5,5,26,20,2,6,2,2,0,0,18.379166666666663,7.120833333333334,0.0
02/11/13,Evian Thonon Gaillard,Toulouse,2,1,H,0,0,D,,14,9,3,4,18,12,4,4,2,3,0,0,12.00416666666667,8.55833333333333,12.200000000000003
02/11/13,Lyon,Guingamp,2,0,H,2,0,H,,14,8,7,1,13,9,13,5,1,2,0,1,15.500000000000002,20.249999999999996,10.9
02/11/13,Reims,Bastia,4,2,H,2,0,H,,15,12,9,8,14,11,5,4,1,1,0,0,13.295833333333333,23.991666666666664,10.399999999999999
02/11/13,Rennes,Marseille,1,1,D,1,1,D,,11,11,4,3,8,17,6,5,2,1,0,0,13.875000000000002,19.875000000000004,1.2999999999999998
02/11/13,Sochaux,St Etienne,0,0,D,0,0,D,,19,7,5,2,17,10,9,2,2,1,1,1,13.537500000000001,20.799999999999997,10.3
03/11/13,Lille,Monaco,2,0,H,1,0,H,,7,15,3,7,19,20,5,8,2,2,0,0,9.16666666666667,25.79166666666666,1.0999999999999999
03/11/13,Montpellier,Nantes,1,1,D,0,1,A,,18,5,5,2,4,20,6,4,0,1,0,0,14.533333333333333,16.625,0.0
03/11/13,Nice,Bordeaux,1,2,A,0,1,A,,8,11,1,4,15,14,7,2,3,2,0,0,16.05,13.325000000000003,0.0
08/11/13,Monaco,Evian Thonon Gaillard,1,1,D,1,1,D,,15,9,2,5,8,21,12,2,1,2,0,0,16.579166666666666,3.2624999999999997,0.4
09/11/13,Bastia,Rennes,1,0,H,1,0,H,,15,10,5,3,16,10,9,4,1,2,0,0,18.262500000000003,23.520833333333332,0.0
09/11/13,Guingamp,Lille,0,0,D,0,0,D,,9,13,1,3,20,18,4,5,1,3,1,0,9.758333333333335,25.695833333333336,8.8
09/11/13,Lorient,Reims,0,0,D,0,0,D,,18,9,3,1,12,9,10,4,0,1,1,0,12.095833333333333,29.816666666666663,7.2
09/11/13,Paris SG,Nice,3,1,H,1,0,H,,16,14,6,2,11,14,6,10,0,1,0,0,8.404166666666667,19.712500000000006,4.3999999999999995
09/11/13,Toulouse,Ajaccio,1,1,D,1,1,D,,25,4,7,2,11,19,11,0,2,2,0,0,11.091666666666667,14.549999999999997,5.300000000000001
09/11/13,Valenciennes,Montpellier,1,1,D,1,0,H,,11,11,3,2,20,17,8,7,3,4,0,1,8.399999999999999,23.562500000000004,3.4000000000000004
10/11/13,Bordeaux,Nantes,0,3,A,0,1,A,,16,11,7,4,7,13,8,4,1,2,0,0,13.554166666666667,20.39583333333334,7.900000000000001
10/11/13,Marseille,Sochaux,2,1,H,1,0,H,,13,8,4,2,12,15,5,4,0,1,0,0,13.162500000000003,24.274999999999995,6.799999999999999
10/11/13,St Etienne,Lyon,1,2,A,0,0,D,,13,9,3,5,10,18,6,3,2,3,0,0,7.391666666666668,17.12083333333333,12.9
22/11/13,Ajaccio,Marseille,1,3,A,1,2,A,,9,18,3,7,17,19,5,2,4,1,0,0,9.3125,8.7875,5.0
23/11/13,Evian Thonon Gaillard,Lorient,0,4,A,0,2,A,,6,11,1,5,12,10,5,2,3,2,1,0,1.4041666666666668,9.629166666666666,0.4
23/11/13,Lyon,Valenciennes,1,1,D,1,0,H,,17,13,5,5,6,12,4,2,1,2,0,0,3.733333333333333,23.520833333333332,0.6000000000000001
23/11/13,Montpellier,Guingamp,1,1,D,0,0,D,,11,8,3,2,15,22,10,4,2,2,0,0,6.720833333333335,30.950000000000003,0.0
23/11/13,Reims,Paris SG,0,3,A,0,1,A,,15,15,5,9,12,15,7,1,3,2,0,0,4.854166666666667,17.825,0.0
23/11/13,Rennes,Bordeaux,1,1,D,0,0,D,,16,11,5,6,8,12,7,3,0,1,0,0,7.0625,16.870833333333334,0.0
23/11/13,Sochaux,Bastia,1,1,D,0,1,A,,16,10,4,3,11,7,5,5,0,2,0,0,2.3458333333333337,16.2,0.2
24/11/13,Lille,Toulouse,1,0,H,0,0,D,,16,5,1,3,14,17,9,5,1,3,0,1,5.724999999999999,12.408333333333333,0.1
24/11/13,Nantes,Monaco,0,1,A,0,0,D,,10,12,3,5,16,9,4,5,3,1,0,0,7.054166666666667,16.562500000000004,0.0
24/11/13,Nice,St Etienne,0,1,A,0,1,A,,11,9,2,4,6,17,5,3,1,1,0,0,9.8125,5.645833333333333,0.0
29/11/13,Marseille,Montpellier,2,0,H,1,0,H,,14,7,7,2,18,11,9,3,2,0,0,0,3.2625000000000006,9.783333333333333,0.0
30/11/13,Guingamp,Nantes,1,0,H,0,0,D,,11,12,3,3,9,24,8,7,1,4,0,0,8.270833333333332,22.266666666666666,0.0
30/11/13,Lorient,Nice,3,0,H,1,0,H,,9,16,5,3,12,13,2,6,0,0,0,0,8.991666666666669,21.17916666666667,0.0
30/11/13,Monaco,Rennes,2,0,H,2,0,H,,21,9,7,0,15,11,8,4,1,0,0,0,7.195833333333332,13.066666666666668,5.0
30/11/13,St Etienne,Reims,4,0,H,0,0,D,,19,9,7,2,8,17,8,4,1,2,0,0,1.5,16.9625,3.1999999999999997
30/11/13,Toulouse,Sochaux,5,1,H,2,1,H,,11,12,6,3,15,19,6,4,2,2,0,0,5.295833333333334,18.604166666666668,6.0
30/11/13,Valenciennes,Lille,0,1,A,0,0,D,,9,9,2,1,13,10,10,1,2,0,0,1,5.808333333333333,13.774999999999997,0.5
01/12/13,Bastia,Evian Thonon Gaillard,2,0,H,0,0,D,,14,6,6,3,10,12,4,5,1,2,0,0,10.500000000000002,23.870833333333334,0.5
01/12/13,Bordeaux,Ajaccio,4,0,H,1,0,H,,10,6,5,1,16,17,3,5,2,4,0,0,5.2124999999999995,12.891666666666666,0.0
01/12/13,Paris SG,Lyon,4,0,H,2,0,H,,13,6,6,1,10,18,5,3,2,4,0,0,5.349999999999999,10.983333333333334,0.0
03/12/13,Lille,Marseille,1,0,H,0,0,D,,12,11,4,4,18,16,9,4,0,0,0,0,0.6458333333333334,5.241666666666668,0.0
03/12/13,Nantes,Valenciennes,2,1,H,0,0,D,,12,11,6,3,9,11,6,4,1,0,0,0,4.341666666666667,5.737500000000001,0.0
