HomeTeam_goals_5avg,AwayTeam_goals_5avg,HomeTeam_win_pct,AwayTeam_win_pct,h2h_goal_diff,Home_goals_conceded_5avg,Away_goals_conceded_5avg,Home_clean_sheets_5,Away_clean_sheets_5,Home_shot_conv_3,Away_shot_conv_3,Home_avg_cards_5,Away_avg_cards_5,Home_comeback_pts_10,Away_comeback_pts_10
1.4157894736842105,1.0394736842105263,0.5,0.5,0,1.4157894736842105,1.0394736842105263,0.0,0.0,0.11179456589356812,0.10331107863098202,1.5701119157340355,1.8169848584595127,0.0,0.0
1.4157894736842105,1.0394736842105263,0.5,0.5,0,1.4157894736842105,1.0394736842105263,0.0,0.0,0.11179456589356812,0.10331107863098202,1.5701119157340355,1.8169848584595127,0.0,0.0
1.4157894736842105,1.0394736842105263,0.0,0.0,0,1.4157894736842105,1.0394736842105263,0.0,0.0,0.11179456589356812,0.10331107863098202,1.5701119157340355,1.8169848584595127,0.0,0.0
1.4157894736842105,1.0394736842105263,0.0,0.0,0,1.4157894736842105,1.0394736842105263,0.0,0.0,0.11179456589356812,0.10331107863098202,1.5701119157340355,1.8169848584595127,0.0,0.0
1.4157894736842105,1.0394736842105263,0.0,0.0,0,1.4157894736842105,1.0394736842105263,0.0,0.0,0.11179456589356812,0.10331107863098202,1.5701119157340355,1.8169848584595127,0.0,0.0
1.4157894736842105,1.0394736842105263,0.0,0.0,0,1.4157894736842105,1.0394736842105263,0.0,0.0,0.11179456589356812,0.10331107863098202,1.5701119157340355,1.8169848584595127,0.0,0.0
1.4157894736842105,1.0394736842105263,0.0,0.0,0,1.4157894736842105,1.0394736842105263,0.0,0.0,0.11179456589356812,0.10331107863098202,1.5701119157340355,1.8169848584595127,0.0,0.0
1.4157894736842105,1.0394736842105263,0.0,0.0,0,1.4157894736842105,1.0394736842105263,0.0,0.0,0.11179456589356812,0.10331107863098202,1.5701119157340355,1.8169848584595127,0.0,1.0
1.4157894736842105,1.0394736842105263,0.0,0.0,0,1.4157894736842105,1.0394736842105263,0.0,0.0,0.11179456589356812,0.10331107863098202,1.5701119157340355,1.8169848584595127,0.0,0.0
1.4157894736842105,1.0394736842105263,0.0,0.0,0,1.4157894736842105,1.0394736842105263,0.0,0.0,0.11179456589356812,0.10331107863098202,1.5701119157340355,1.8169848584595127,0.0,0.0
1.4157894736842105,1.0394736842105263,0.0,0.0,0,1.4157894736842105,1.0394736842105263,0.0,0.0,0.11179456589356812,0.10331107863098202,1.5701119157340355,1.8169848584595127,0.0,0.0
1.4157894736842105,1.0394736842105263,0.0,0.0,0,1.4157894736842105,1.0394736842105263,0.0,0.0,0.11179456589356812,0.10331107863098202,1.5701119157340355,1.8169848584595127,0.0,1.0
1.4157894736842105,1.0394736842105263,0.0,0.0,0,1.4157894736842105,1.0394736842105263,0.0,0.0,0.11179456589356812,0.10331107863098202,1.5701119157340355,1.8169848584595127,0.0,0.0
1.4157894736842105,1.0394736842105263,0.0,0.0,0,1.4157894736842105,1.0394736842105263,0.0,0.0,0.11179456589356812,0.10331107863098202,1.5701119157340355,1.8169848584595127,0.0,0.0
1.4157894736842105,1.0394736842105263,0.0,0.0,0,1.4157894736842105,1.0394736842105263,0.0,0.0,0.11179456589356812,0.10331107863098202,1.5701119157340355,1.8169848584595127,0.0,1.0
1.4157894736842105,1.0394736842105263,0.0,0.0,0,1.4157894736842105,1.0394736842105263,0.0,0.0,0.11179456589356812,0.10331107863098202,1.5701119157340355,1.8169848584595127,0.0,0.0
1.4157894736842105,1.0394736842105263,0.0,0.0,0,1.4157894736842105,1.0394736842105263,0.0,0.0,0.11179456589356812,0.10331107863098202,1.5701119157340355,1.8169848584595127,0.0,0.0
1.4157894736842105,1.0394736842105263,0.0,0.0,0,1.4157894736842105,1.0394736842105263,0.0,0.0,0.11179456589356812,0.10331107863098202,1.5701119157340355,1.8169848584595127,0.0,1.0
1.4157894736842105,1.0394736842105263,0.0,0.0,0,1.4157894736842105,1.0394736842105263,0.0,0.0,0.11179456589356812,0.10331107863098202,1.5701119157340355,1.8169848584595127,0.0,0.0
1.4157894736842105,1.0394736842105263,0.0,0.0,0,1.4157894736842105,1.0394736842105263,0.0,0.0,0.11179456589356812,0.10331107863098202,1.5701119157340355,1.8169848584595127,1.0,0.0
1.0,4.0,0.0,0.1,0,1.4157894736842105,1.0394736842105263,0.0,0.0,0.16663889351774702,0.24998437597650144,1.5701119157340355,1.8169848584595127,0.0,1.0
4.0,2.0,0.1,0.1,0,1.4157894736842105,1.0394736842105263,0.0,0.0,0.3333055578701775,0.285673475217826,1.5701119157340355,1.8169848584595127,0.0,1.0
1.0,0.0,0.2,0.1,0,1.4157894736842105,1.0394736842105263,0.0,0.0,0.09999000099990002,0.0,1.5701119157340355,1.8169848584595127,0.0,0.0
1.0,3.0,0.2,0.2,0,1.4157894736842105,1.0394736842105263,0.0,0.0,0.049997500124993745,0.2307514806553342,1.5701119157340355,1.8169848584595127,0.0,0.0
1.0,0.0,0.2,0.2,0,1.4157894736842105,1.0394736842105263,0.0,0.0,0.0588200694076819,0.0,1.5701119157340355,1.8169848584595127,0.0,0.0
1.0,0.0,0.3,0.2,0,1.4157894736842105,1.0394736842105263,0.0,0.0,0.1249843769528809,0.0,1.5701119157340355,1.8169848584595127,0.0,0.0
1.0,0.0,0.3,0.2,0,1.4157894736842105,1.0394736842105263,0.0,0.0,0.0909008271975275,0.0,1.5701119157340355,1.8169848584595127,0.0,0.0
