Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,temperature,wind_speed,precipitation,season,league_home_avg,league_away_avg,HomeTeam_goals_5avg,HomeTeam_win_pct,AwayTeam_goals_5avg,AwayTeam_win_pct,Home_clean_sheets_5,Home_goals_conceded_5avg,Away_clean_sheets_5,Away_goals_conceded_5avg,Home_shot_conv_3,Away_shot_conv_3,Home_avg_cards_5,Away_avg_cards_5,Home_comeback_pts_10,Away_comeback_pts_10,h2h_goal_diff
F1,2018-04-03,Montpellier,Lyon,1,1,D,1,0,H,10,19,5,4,15,6,4,4,2,2,0,0,9.841666666666663,13.716666666666669,13.0,2017,1.5289473684210526,1.1894736842105262,1.2,0.2,1.8,0.1,1.0,1.2,1.0,1.8,0.10203456931208293,0.14284489900865643,1.6,2.8,0.0,1.0,0
F1,2018-09-03,Strasbourg,Monaco,1,3,A,1,3,A,29,10,5,4,13,14,5,3,0,1,0,0,7.9375,11.116666666666667,0.3,2017,1.5289473684210526,1.1894736842105262,1.0,0.1,2.6,0.1,1.0,1.4,3.0,1.0,0.06249414117426492,0.3213941363425347,1.4,1.2,0.0,0.0,0
F1,2018-10-03,Bordeaux,Angers,0,0,D,0,0,D,12,9,2,0,10,6,3,2,0,0,0,0,14.483333333333336,15.758333333333333,5.300000000000001,2017,1.5289473684210526,1.1894736842105262,1.2,0.1,0.8,0.2,1.0,1.4,0.0,1.2,0.1304262765471817,0.09676482921007644,2.2,3.0,0.0,0.0,0
F1,2018-10-03,Dijon,Amiens,1,1,D,0,1,A,10,10,3,4,12,13,5,1,3,0,0,0,11.333333333333334,18.366666666666667,4.1,2017,1.5289473684210526,1.1894736842105262,2.2,0.2,0.6,0.3,2.0,0.8,1.0,1.2,0.18419598452753733,0.09999000099990002,1.8,1.6,1.0,0.0,0
F1,2018-10-03,Lille,Montpellier,1,1,D,1,0,H,5,13,2,4,17,12,3,6,2,2,0,0,10.870833333333335,16.216666666666665,2.2,2017,1.5289473684210526,1.1894736842105262,1.2,0.2,0.8,0.3,0.0,2.0,3.0,1.0,0.07894113622608742,0.024998125140614454,0.6,2.0,0.0,0.0,0
F1,2018-10-03,Nantes,Troyes,1,0,H,0,0,D,19,8,3,0,6,6,5,3,0,1,0,0,12.966666666666663,16.395833333333332,2.5,2017,1.5289473684210526,1.1894736842105262,0.6,0.2,0.6,0.3,1.0,1.0,0.0,2.2,0.03278527285543334,0.047612245869637665,1.8,2.4,0.0,0.0,0
F1,2018-10-03,Paris SG,Metz,5,0,H,4,0,H,18,6,10,3,10,10,9,2,0,1,0,0,12.575,14.9,5.4,2017,1.5289473684210526,1.1894736842105262,4.6,0.3,1.4,0.3,3.0,0.6,0.0,2.6,0.2926615125722508,0.15150137866254584,2.2,1.8,0.0,0.0,0
F1,2018-10-03,Rennes,St Etienne,1,1,D,0,1,A,18,9,7,3,16,14,8,4,0,4,0,0,12.454166666666667,15.062500000000002,0.9,2017,1.5289473684210526,1.1894736842105262,0.8,0.4,0.8,0.2,2.0,1.6,2.0,1.0,0.0909008271975275,0.11763667911654853,2.6,2.2,0.0,0.0,0
F1,2018-11-03,Guingamp,Nice,2,5,A,1,1,D,12,17,6,5,24,8,6,5,3,1,0,0,9.0625,22.595833333333328,6.799999999999998,2017,1.5289473684210526,1.1894736842105262,0.8,0.4,1.2,0.2,1.0,1.6,1.0,1.6,0.06895838361548806,0.09999000099990002,2.2,3.6,0.0,1.0,0
F1,2018-11-03,Lyon,Caen,1,0,H,0,0,D,20,6,4,1,3,8,4,2,1,1,0,0,13.508333333333333,17.3875,8.899999999999999,2017,1.5289473684210526,1.1894736842105262,1.2,0.3,0.8,0.2,1.0,1.0,2.0,1.4,0.07691716021844473,0.025639053406148245,1.4,2.8,0.0,0.0,0
F1,2018-11-03,Toulouse,Marseille,1,2,A,1,1,D,9,23,4,9,16,19,3,7,2,3,0,0,13.316666666666668,10.279166666666669,0.1,2017,1.5289473684210526,1.1894736842105262,1.2,0.3,1.4,0.2,1.0,1.4,2.0,1.4,0.12498828234852984,0.10255621362459298,2.2,2.4,0.0,0.0,0
