Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,temperature,wind_speed,precipitation,season,league_home_avg,league_away_avg,HomeTeam_goals_5avg,HomeTeam_win_pct,AwayTeam_goals_5avg,AwayTeam_win_pct,h2h_goal_diff
2013-09-24,Lille,Evian Thonon Gaillard,3,0,H,2.0,0.0,H,,12.0,6.0,5.0,1.0,16.0,12.0,4.0,2.0,1.0,2.0,0.0,0.0,15.387499999999996,6.650000000000001,0.0,2013,1.4157894736842105,1.0394736842105263,0.6666666666666666,0.5,1.5,0.3333333333333333,0.0
2013-09-24,Marseille,St Etienne,2,1,H,2.0,1.0,H,,12.0,11.0,5.0,2.0,10.0,17.0,8.0,11.0,1.0,1.0,0.0,0.0,19.754166666666663,5.066666666666666,0.0,2013,1.4157894736842105,1.0394736842105263,1.5,0.3333333333333333,1.3333333333333333,0.5,0.0
2013-09-25,Nantes,Nice,2,0,H,1.0,0.0,H,,16.0,4.0,6.0,0.0,10.0,12.0,8.0,0.0,1.0,1.0,0.0,0.0,18.97083333333333,5.579166666666667,0.0,2013,1.4157894736842105,1.0394736842105263,1.3333333333333333,0.5,0.6666666666666666,0.25,0.0
2013-09-25,Toulouse,Lorient,1,0,H,0.0,0.0,D,,14.0,11.0,4.0,4.0,13.0,17.0,6.0,3.0,1.0,2.0,0.0,0.0,22.245833333333334,13.8625,0.0,2013,1.4157894736842105,1.0394736842105263,1.0,0.0,0.0,0.0,0.0
2013-09-25,Monaco,Bastia,3,0,H,2.0,0.0,H,,19.0,12.0,9.0,5.0,9.0,14.0,10.0,5.0,1.0,1.0,0.0,0.0,19.39583333333333,6.379166666666667,0.0,2013,1.4157894736842105,1.0394736842105263,1.6666666666666667,0.5,0.3333333333333333,0.0,0.0
2013-09-25,Valenciennes,Paris SG,0,1,A,0.0,1.0,A,,14.0,6.0,3.0,2.0,13.0,10.0,8.0,4.0,1.0,4.0,0.0,0.0,15.579166666666667,5.3625,0.5,2013,1.4157894736842105,1.0394736842105263,1.3333333333333333,0.25,1.6666666666666667,0.5,0.0
2013-09-25,Bordeaux,Reims,0,0,D,0.0,0.0,D,,20.0,9.0,7.0,3.0,15.0,23.0,15.0,4.0,1.0,2.0,0.0,0.0,21.829166666666666,6.4875,0.0,2013,1.4157894736842105,1.0394736842105263,0.3333333333333333,0.25,0.6666666666666666,0.25,0.0
2013-09-25,Ajaccio,Lyon,2,1,H,1.0,0.0,H,,7.0,15.0,3.0,8.0,18.0,18.0,1.0,6.0,5.0,2.0,0.0,1.0,21.245833333333337,3.983333333333334,0.0,2013,1.4157894736842105,1.0394736842105263,0.6666666666666666,0.0,2.0,0.3333333333333333,0.0
2013-09-25,Guingamp,Sochaux,5,1,H,3.0,0.0,H,,14.0,15.0,7.0,6.0,14.0,18.0,3.0,2.0,2.0,4.0,0.0,0.0,17.908333333333335,6.4625,1.1,2013,1.4157894736842105,1.0394736842105263,1.3333333333333333,0.25,0.6666666666666666,0.0,0.0
2013-09-26,Montpellier,Rennes,0,0,D,0.0,0.0,D,,20.0,8.0,4.0,3.0,18.0,14.0,7.0,2.0,3.0,1.0,0.0,0.0,19.73333333333333,9.720833333333331,0.9,2013,1.4157894736842105,1.0394736842105263,1.0,0.25,1.0,0.25,0.0
2013-09-28,Evian Thonon Gaillard,Bordeaux,1,1,D,1.0,0.0,H,,11.0,17.0,2.0,7.0,23.0,17.0,6.0,8.0,3.0,3.0,0.0,1.0,18.649999999999995,4.362500000000001,0.0,2013,1.4157894736842105,1.0394736842105263,1.5,0.2,1.6666666666666667,0.0,0.0
2013-09-28,Lorient,Marseille,0,2,A,0.0,0.0,D,,15.0,12.0,6.0,4.0,6.0,11.0,6.0,2.0,1.0,1.0,0.0,0.0,18.94583333333333,11.870833333333332,1.1,2013,1.4157894736842105,1.0394736842105263,2.0,0.5,1.25,0.4,0.0
2013-09-28,Lyon,Lille,0,0,D,0.0,0.0,D,,6.0,14.0,1.0,5.0,15.0,12.0,1.0,7.0,3.0,2.0,0.0,0.0,20.570833333333336,13.858333333333333,0.0,2013,1.4157894736842105,1.0394736842105263,1.75,0.4,1.0,0.25,0.0
2013-09-28,Nice,Guingamp,1,0,H,0.0,0.0,D,,16.0,10.0,7.0,4.0,17.0,16.0,10.0,3.0,1.0,2.0,0.0,0.0,20.12083333333333,6.720833333333334,0.0,2013,1.4157894736842105,1.0394736842105263,2.6666666666666665,0.5,0.3333333333333333,0.0,0.0
2013-09-28,Paris SG,Toulouse,2,0,H,1.0,0.0,H,,14.0,7.0,4.0,3.0,12.0,15.0,6.0,2.0,0.0,3.0,0.0,0.0,18.79583333333333,11.845833333333331,7.1000000000000005,2013,1.4157894736842105,1.0394736842105263,1.3333333333333333,0.25,0.75,0.2,0.0
2013-09-28,Sochaux,Valenciennes,2,0,H,2.0,0.0,H,,8.0,15.0,5.0,2.0,14.0,16.0,4.0,12.0,4.0,3.0,0.0,0.0,18.062500000000004,11.208333333333334,0.0,2013,1.4157894736842105,1.0394736842105263,0.3333333333333333,0.0,0.0,0.0,0.0
2013-09-28,St Etienne,Bastia,2,2,D,1.0,0.0,H,,20.0,4.0,7.0,2.0,5.0,15.0,5.0,1.0,2.0,4.0,0.0,0.0,18.75,17.79583333333333,0.0,2013,1.4157894736842105,1.0394736842105263,1.3333333333333333,0.5,0.25,0.0,0.0
2013-09-29,Reims,Monaco,1,1,D,1.0,1.0,D,,13.0,16.0,3.0,7.0,15.0,12.0,6.0,7.0,1.0,1.0,1.0,0.0,17.78333333333334,14.65,1.3,2013,1.4157894736842105,1.0394736842105263,1.0,0.25,1.6666666666666667,0.5,0.0
2013-09-29,Rennes,Nantes,1,3,A,0.0,2.0,A,,6.0,14.0,4.0,5.0,9.0,16.0,2.0,4.0,1.0,2.0,0.0,0.0,19.13333333333333,5.520833333333333,0.4,2013,1.4157894736842105,1.0394736842105263,1.3333333333333333,0.5,0.6666666666666666,0.0,0.0
2013-09-29,Ajaccio,Montpellier,1,1,D,1.0,1.0,D,,10.0,12.0,2.0,7.0,16.0,15.0,6.0,6.0,3.0,1.0,1.0,1.0,21.600000000000005,16.604166666666668,24.800000000000004,2013,1.4157894736842105,1.0394736842105263,1.0,0.2,1.6666666666666667,0.0,0.0
2013-10-04,Bastia,Lorient,4,1,H,2.0,1.0,H,,15.0,9.0,10.0,2.0,15.0,20.0,4.0,6.0,2.0,4.0,0.0,1.0,20.6,27.033333333333346,1.1,2013,1.4157894736842105,1.0394736842105263,1.3333333333333333,0.5,0.0,0.0,0.0
2013-10-05,Guingamp,Rennes,2,0,H,0.0,0.0,D,,22.0,6.0,8.0,2.0,17.0,15.0,9.0,3.0,0.0,1.0,0.0,1.0,15.233333333333334,10.291666666666666,0.0,2013,1.4157894736842105,1.0394736842105263,2.25,0.4,0.75,0.2,0.0
2013-10-05,Lille,Ajaccio,3,0,H,1.0,0.0,H,,18.0,6.0,6.0,1.0,14.0,11.0,8.0,4.0,1.0,1.0,0.0,0.0,15.220833333333331,8.141666666666667,1.4,2013,1.4157894736842105,1.0394736842105263,1.25,0.6,0.3333333333333333,0.0,0.0
2013-10-05,Monaco,St Etienne,2,1,H,1.0,0.0,H,,11.0,8.0,6.0,5.0,14.0,17.0,7.0,0.0,1.0,6.0,0.0,0.0,17.650000000000002,6.187500000000003,19.9,2013,1.4157894736842105,1.0394736842105263,2.0,0.6,1.25,0.4,0.0
2013-10-05,Nantes,Evian Thonon Gaillard,3,0,H,2.0,0.0,H,,7.0,11.0,4.0,2.0,11.0,13.0,6.0,4.0,1.0,2.0,0.0,0.0,16.17083333333333,7.200000000000002,0.0,2013,1.4157894736842105,1.0394736842105263,1.5,0.6,1.0,0.25,0.0
2013-10-05,Toulouse,Nice,1,0,H,1.0,0.0,H,,8.0,10.0,2.0,3.0,18.0,13.0,1.0,4.0,1.0,1.0,0.0,0.0,17.270833333333332,14.116666666666664,8.4,2013,1.4157894736842105,1.0394736842105263,1.0,0.25,0.5,0.2,0.0
2013-10-05,Valenciennes,Reims,1,1,D,0.0,1.0,A,,18.0,9.0,11.0,4.0,15.0,16.0,22.0,4.0,0.0,2.0,0.0,0.0,15.516666666666664,8.129166666666668,0.7999999999999999,2013,1.4157894736842105,1.0394736842105263,1.0,0.2,0.5,0.2,0.0
2013-10-06,Bordeaux,Sochaux,4,1,H,2.0,1.0,H,,18.0,10.0,7.0,1.0,11.0,17.0,4.0,4.0,3.0,2.0,0.0,0.0,15.612500000000002,7.304166666666668,0.0,2013,1.4157894736842105,1.0394736842105263,0.25,0.2,0.75,0.0,0.0
2013-10-06,Marseille,Paris SG,1,2,A,1.0,1.0,D,,11.0,4.0,6.0,4.0,23.0,12.0,6.0,1.0,3.0,4.0,0.0,1.0,18.01666666666667,13.54166666666667,0.0,2013,1.4157894736842105,1.0394736842105263,1.6666666666666667,0.5,1.5,0.6,0.0
2013-10-06,Montpellier,Lyon,5,1,H,2.0,0.0,H,,15.0,18.0,10.0,4.0,16.0,19.0,3.0,5.0,2.0,2.0,0.0,1.0,17.854166666666668,18.85833333333333,0.0,2013,1.4157894736842105,1.0394736842105263,0.75,0.2,1.6666666666666667,0.25,0.0
2013-10-18,Nice,Marseille,1,0,H,1.0,0.0,H,,7.0,19.0,3.0,6.0,16.0,14.0,2.0,14.0,2.0,2.0,0.0,0.0,16.91666666666666,4.35,0.2,2013,1.4157894736842105,1.0394736842105263,2.25,0.6,1.4,0.5,0.0
2013-10-18,Reims,Toulouse,1,2,A,0.0,1.0,A,,11.0,13.0,5.0,7.0,18.0,12.0,4.0,4.0,2.0,2.0,1.0,0.0,12.116666666666667,10.933333333333332,0.0,2013,1.4157894736842105,1.0394736842105263,1.0,0.2,0.6,0.16666666666666666,0.0
