Date,HomeTeam,AwayTeam,season,HomeTeam_goals_5avg,AwayTeam_goals_5avg,HomeTeam_win_pct,AwayTeam_win_pct,h2h_goal_diff,Home_goals_conceded_5avg,Away_goals_conceded_5avg,Home_clean_sheets_5,Away_clean_sheets_5,Home_shot_conv_3,Away_shot_conv_3,Home_avg_cards_5,Away_avg_cards_5,Home_comeback_pts_10,Away_comeback_pts_10,FTR
2013-08-09,Montpellier,Paris SG,2013,1.4157894736842105,1.0394736842105263,0.5,0.5,0.0,1.4157894736842105,1.0394736842105263,0.0,0.0,0.11179456589356812,0.10331107863098202,1.5701119157340355,1.8169848584595127,1.0,0.0,D
2013-08-10,Bordeaux,Monaco,2013,1.4157894736842105,1.0394736842105263,0.5,0.5,0.0,1.4157894736842105,1.0394736842105263,0.0,0.0,0.11179456589356812,0.10331107863098202,1.5701119157340355,1.8169848584595127,0.0,0.0,A
2013-08-10,Evian Thonon Gaillard,Sochaux,2013,1.4157894736842105,1.0394736842105263,0.0,0.0,0.0,1.4157894736842105,1.0394736842105263,0.0,0.0,0.11179456589356812,0.10331107863098202,1.5701119157340355,1.8169848584595127,0.0,0.0,D
2013-08-10,Lille,Lorient,2013,1.4157894736842105,1.0394736842105263,0.0,0.0,0.0,1.4157894736842105,1.0394736842105263,0.0,0.0,0.11179456589356812,0.10331107863098202,1.5701119157340355,1.8169848584595127,0.0,1.0,H
2013-08-10,Lyon,Nice,2013,1.4157894736842105,1.0394736842105263,0.0,0.0,0.0,1.4157894736842105,1.0394736842105263,0.0,0.0,0.11179456589356812,0.10331107863098202,1.5701119157340355,1.8169848584595127,1.0,0.0,H
2013-08-10,Nantes,Bastia,2013,1.4157894736842105,1.0394736842105263,0.0,0.0,0.0,1.4157894736842105,1.0394736842105263,0.0,0.0,0.11179456589356812,0.10331107863098202,1.5701119157340355,1.8169848584595127,0.0,0.0,H
2013-08-10,Rennes,Reims,2013,1.4157894736842105,1.0394736842105263,0.0,0.0,0.0,1.4157894736842105,1.0394736842105263,0.0,0.0,0.11179456589356812,0.10331107863098202,1.5701119157340355,1.8169848584595127,0.0,0.0,H
2013-08-10,Valenciennes,Toulouse,2013,1.4157894736842105,1.0394736842105263,0.0,0.0,0.0,1.4157894736842105,1.0394736842105263,0.0,0.0,0.11179456589356812,0.10331107863098202,1.5701119157340355,1.8169848584595127,0.0,0.0,H
2013-08-11,Ajaccio,St Etienne,2013,1.4157894736842105,1.0394736842105263,0.0,0.0,0.0,1.4157894736842105,1.0394736842105263,0.0,0.0,0.11179456589356812,0.10331107863098202,1.5701119157340355,1.8169848584595127,0.0,0.0,A
2013-08-11,Guingamp,Marseille,2013,1.4157894736842105,1.0394736842105263,0.0,0.0,0.0,1.4157894736842105,1.0394736842105263,0.0,0.0,0.11179456589356812,0.10331107863098202,1.5701119157340355,1.8169848584595127,0.0,0.0,A
2013-08-16,Sochaux,Lyon,2013,1.4157894736842105,1.0394736842105263,0.0,0.0,0.0,1.4157894736842105,1.0394736842105263,0.0,0.0,0.11179456589356812,0.10331107863098202,1.5701119157340355,1.8169848584595127,0.0,1.0,A
2013-08-17,Toulouse,Bordeaux,2013,1.4157894736842105,1.0394736842105263,0.0,0.0,0.0,1.4157894736842105,1.0394736842105263,0.0,0.0,0.11179456589356812,0.10331107863098202,1.5701119157340355,1.8169848584595127,1.0,0.0,D
2013-08-17,St Etienne,Guingamp,2013,1.4157894736842105,1.0394736842105263,0.0,0.0,0.0,1.4157894736842105,1.0394736842105263,0.0,0.0,0.11179456589356812,0.10331107863098202,1.5701119157340355,1.8169848584595127,0.0,0.0,H
2013-08-17,Reims,Lille,2013,1.4157894736842105,1.0394736842105263,0.0,0.0,0.0,1.4157894736842105,1.0394736842105263,0.0,0.0,0.11179456589356812,0.10331107863098202,1.5701119157340355,1.8169848584595127,0.0,0.0,H
2013-08-17,Bastia,Valenciennes,2013,1.4157894736842105,1.0394736842105263,0.0,0.0,0.0,1.4157894736842105,1.0394736842105263,0.0,0.0,0.11179456589356812,0.10331107863098202,1.5701119157340355,1.8169848584595127,0.0,1.0,H
2013-08-17,Marseille,Evian Thonon Gaillard,2013,1.4157894736842105,1.0394736842105263,0.0,0.0,0.0,1.4157894736842105,1.0394736842105263,0.0,0.0,0.11179456589356812,0.10331107863098202,1.5701119157340355,1.8169848584595127,1.0,0.0,H
2013-08-17,Nice,Rennes,2013,1.4157894736842105,1.0394736842105263,0.0,0.0,0.0,1.4157894736842105,1.0394736842105263,0.0,0.0,0.11179456589356812,0.10331107863098202,1.5701119157340355,1.8169848584595127,0.0,0.0,H
2013-08-18,Lorient,Nantes,2013,1.4157894736842105,1.0394736842105263,0.0,0.0,0.0,1.4157894736842105,1.0394736842105263,0.0,0.0,0.11179456589356812,0.10331107863098202,1.5701119157340355,1.8169848584595127,0.0,0.0,H
2013-08-18,Monaco,Montpellier,2013,1.4157894736842105,1.0394736842105263,0.0,0.0,0.0,1.4157894736842105,1.0394736842105263,0.0,0.0,0.11179456589356812,0.10331107863098202,1.5701119157340355,1.8169848584595127,0.0,0.0,H
2013-08-18,Paris SG,Ajaccio,2013,1.4157894736842105,1.0394736842105263,0.0,0.0,0.0,1.4157894736842105,1.0394736842105263,0.0,0.0,0.11179456589356812,0.10331107863098202,1.5701119157340355,1.8169848584595127,1.0,0.0,D
2013-08-23,Monaco,Toulouse,2013,4.0,0.0,0.1,0.0,0.0,1.4157894736842105,1.0394736842105263,0.0,0.0,0.30766864087377893,0.0,1.5701119157340355,1.8169848584595127,0.0,0.0,D
