Date,HomeTeam,AwayTeam,season,HomeTeam_goals_5avg,AwayTeam_goals_5avg,HomeTeam_win_pct,AwayTeam_win_pct,h2h_goal_diff,Home_goals_conceded_5avg,Away_goals_conceded_5avg,Home_clean_sheets_5,Away_clean_sheets_5,Home_shot_conv_3,Away_shot_conv_3,Home_avg_cards_5,Away_avg_cards_5,Home_comeback_pts_10,Away_comeback_pts_10,temperature,wind_speed,precipitation,FTR
2013-08-09,Montpellier,Paris SG,2013,1.4157894736842105,1.0394736842105263,0.5,0.5,0.0,1.4157894736842105,1.0394736842105263,0.0,0.0,0.11179456589356812,0.10331107863098202,1.5701119157340355,1.8169848584595127,1.0,0.0,22.995833333333337,28.02083333333333,0.0,D
2013-08-10,Bordeaux,Monaco,2013,1.4157894736842105,1.0394736842105263,0.5,0.5,0.0,1.4157894736842105,1.0394736842105263,0.0,0.0,0.11179456589356812,0.10331107863098202,1.5701119157340355,1.8169848584595127,0.0,0.0,20.55,6.4375,0.0,A
2013-08-10,Evian Thonon Gaillard,Sochaux,2013,1.4157894736842105,1.0394736842105263,0.0,0.0,0.0,1.4157894736842105,1.0394736842105263,0.0,0.0,0.11179456589356812,0.10331107863098202,1.5701119157340355,1.8169848584595127,0.0,0.0,18.82083333333333,8.229166666666666,0.0,D
2013-08-10,Lille,Lorient,2013,1.4157894736842105,1.0394736842105263,0.0,0.0,0.0,1.4157894736842105,1.0394736842105263,0.0,0.0,0.11179456589356812,0.10331107863098202,1.5701119157340355,1.8169848584595127,0.0,1.0,17.224999999999998,9.391666666666667,0.0,H
2013-08-10,Lyon,Nice,2013,1.4157894736842105,1.0394736842105263,0.0,0.0,0.0,1.4157894736842105,1.0394736842105263,0.0,0.0,0.11179456589356812,0.10331107863098202,1.5701119157340355,1.8169848584595127,1.0,0.0,20.6125,13.066666666666668,0.0,H
2013-08-10,Nantes,Bastia,2013,1.4157894736842105,1.0394736842105263,0.0,0.0,0.0,1.4157894736842105,1.0394736842105263,0.0,0.0,0.11179456589356812,0.10331107863098202,1.5701119157340355,1.8169848584595127,0.0,0.0,18.29583333333333,8.370833333333334,0.0,H
2013-08-10,Rennes,Reims,2013,1.4157894736842105,1.0394736842105263,0.0,0.0,0.0,1.4157894736842105,1.0394736842105263,0.0,0.0,0.11179456589356812,0.10331107863098202,1.5701119157340355,1.8169848584595127,0.0,0.0,17.212499999999995,8.65,0.0,H
2013-08-10,Valenciennes,Toulouse,2013,1.4157894736842105,1.0394736842105263,0.0,0.0,0.0,1.4157894736842105,1.0394736842105263,0.0,0.0,0.11179456589356812,0.10331107863098202,1.5701119157340355,1.8169848584595127,0.0,0.0,16.733333333333334,9.445833333333336,0.1,H
2013-08-11,Ajaccio,St Etienne,2013,1.4157894736842105,1.0394736842105263,0.0,0.0,0.0,1.4157894736842105,1.0394736842105263,0.0,0.0,0.11179456589356812,0.10331107863098202,1.5701119157340355,1.8169848584595127,0.0,0.0,26.375,8.687499999999998,0.0,A
2013-08-11,Guingamp,Marseille,2013,1.4157894736842105,1.0394736842105263,0.0,0.0,0.0,1.4157894736842105,1.0394736842105263,0.0,0.0,0.11179456589356812,0.10331107863098202,1.5701119157340355,1.8169848584595127,0.0,0.0,17.383333333333333,11.666666666666666,0.0,A
2013-08-16,Sochaux,Lyon,2013,1.4157894736842105,1.0394736842105263,0.0,0.0,0.0,1.4157894736842105,1.0394736842105263,0.0,0.0,0.11179456589356812,0.10331107863098202,1.5701119157340355,1.8169848584595127,0.0,1.0,19.5625,7.341666666666665,0.0,A
2013-08-17,Toulouse,Bordeaux,2013,1.4157894736842105,1.0394736842105263,0.0,0.0,0.0,1.4157894736842105,1.0394736842105263,0.0,0.0,0.11179456589356812,0.10331107863098202,1.5701119157340355,1.8169848584595127,1.0,0.0,23.0,7.695833333333333,3.4000000000000004,D
2013-08-17,St Etienne,Guingamp,2013,1.4157894736842105,1.0394736842105263,0.0,0.0,0.0,1.4157894736842105,1.0394736842105263,0.0,0.0,0.11179456589356812,0.10331107863098202,1.5701119157340355,1.8169848584595127,0.0,0.0,20.76666666666667,5.579166666666668,0.1,H
2013-08-17,Reims,Lille,2013,1.4157894736842105,1.0394736842105263,0.0,0.0,0.0,1.4157894736842105,1.0394736842105263,0.0,0.0,0.11179456589356812,0.10331107863098202,1.5701119157340355,1.8169848584595127,0.0,0.0,21.525,10.570833333333333,0.1,H
2013-08-17,Bastia,Valenciennes,2013,1.4157894736842105,1.0394736842105263,0.0,0.0,0.0,1.4157894736842105,1.0394736842105263,0.0,0.0,0.11179456589356812,0.10331107863098202,1.5701119157340355,1.8169848584595127,0.0,1.0,25.5125,4.512499999999999,0.0,H
2013-08-17,Marseille,Evian Thonon Gaillard,2013,1.4157894736842105,1.0394736842105263,0.0,0.0,0.0,1.4157894736842105,1.0394736842105263,0.0,0.0,0.11179456589356812,0.10331107863098202,1.5701119157340355,1.8169848584595127,1.0,0.0,25.44583333333333,6.9625,0.0,H
2013-08-17,Nice,Rennes,2013,1.4157894736842105,1.0394736842105263,0.0,0.0,0.0,1.4157894736842105,1.0394736842105263,0.0,0.0,0.11179456589356812,0.10331107863098202,1.5701119157340355,1.8169848584595127,0.0,0.0,24.58333333333334,5.133333333333333,0.4,H
2013-08-18,Lorient,Nantes,2013,1.4157894736842105,1.0394736842105263,0.0,0.0,0.0,1.4157894736842105,1.0394736842105263,0.0,0.0,0.11179456589356812,0.10331107863098202,1.5701119157340355,1.8169848584595127,0.0,0.0,19.27916666666666,21.0625,1.6,H
